event_id,event_type,title,title_slug,url,speakers,time,location,abstract
109593,Tutorial,"Model Merging: Theory, Practice and Applications","model merging: theory, practice and applications",/virtual/2025/109593,Marco Ciccone · Malikeh Ehghaghi · Colin Raffel,"Dec 2, 9:30 AM - 12:00 PM",Upper Level Room 30A-E,
109592,Tutorial,"Human-AI Alignment: Foundations, Methods, Practice, and Challenges","human-ai alignment: foundations, methods, practice, and challenges",/virtual/2025/109592,Hua Shen · Mitchell Gordon · Adam Tauman Kalai,"Dec 2, 9:30 AM - 12:00 PM",Exhibit Hall F,
109591,Tutorial,Foundations of Tensor/Low-Rank Computations for AI,foundations of tensor/low-rank computations for ai,/virtual/2025/109591,Grigorios Chrysos · Evrim Acar · Antonio Vergari,"Dec 2, 9:30 AM - 12:00 PM",Upper Level Room 28A-E,
109589,Tutorial,Energy and Power as First-Class ML Design Metrics,energy and power as first-class ml design metrics,/virtual/2025/109589,Jae-Won Chung · Ahmet Inci · Ruofan Wu · Bhargava Gopireddy,"Dec 2, 9:30 AM - 12:00 PM",Upper Level Ballroom 6AB,
109594,Tutorial,New Frontiers of Hyperparameter Optimization: Recent advances and open challenges in theory and practice,new frontiers of hyperparameter optimization: recent advances and open challenges in theory and practice,/virtual/2025/109594,Dravyansh Sharma · Colin White · Maria-Florina Balcan,"Dec 2, 9:30 AM - 12:00 PM",Upper Level Ballroom 6CDEF,
109596,Tutorial,Planning in the Era of Language Models,planning in the era of language models,/virtual/2025/109596,Michael Katz · Harsha Kokel · Christian Muise,"Dec 2, 9:30 AM - 12:00 PM",Upper Level Ballroom 20AB,"For over six decades, the field of automated planning has been at the heart of AI, empowering intelligent systems to reason, act, and achieve goals in complex, dynamic environments. From robotics and logistics to space exploration, planning research has fueled autonomous decision-making in real-world applications. Today, as large language models redefine what’s possible in AI, the principles and methodologies of planning are more vital than ever. The planning community brings decades of experience in designing, benchmarking, and interpreting intelligent behavior; expertise that can accelerate the development of powerful, trustworthy, and general-purpose LLM-based agents. Participants will gain a clear understanding of what planning truly entails, what has been learned (and sometimes forgotten) in the shift toward LLM-based approaches, and how foundational insights from the planning community can inform the creation of stronger, more reliable, and more scalable LLM-powered planners."
109599,Tutorial,"Explain AI Models: Methods and Opportunities in Explainable AI, Data-Centric AI, and Mechanistic Interpretability","explain ai models: methods and opportunities in explainable ai, data-centric ai, and mechanistic interpretability",/virtual/2025/109599,Shichang (Ray) Zhang · Himabindu Lakkaraju · Julius Adebayo,"Dec 2, 9:30 AM - 12:00 PM","Exhibit Hall G,H","Understanding AI system behavior has become critical for safety, trust, and effective deployment across diverse applications. Three major research communities have emerged to address this challenge through interpretability methods: Explainable AI focuses on feature attribution to understand which input features drive model decisions; Data-Centric AI emphasizes data attribution to analyze how training examples shape model behavior; and Mechanistic Interpretability examines component attribution to understand how internal model components contribute to outputs. These three branches share the goal of better understanding AI systems across different aspects and differ primarily in their perspectives rather than techniques. This tutorial begins with foundational concepts and historical context, providing essential background on why explainability matters and how the field has evolved since its early days. The first technical deep dive covers post hoc explanation methods, data-centric explanation techniques, mechanistic interpretability approaches, and presents a unified framework demonstrating that these methods share fundamental techniques such as perturbations, gradients, and local linear approximations. The second technical deep dive explores inherently interpretable models, clarifying concepts like reasoning (chain-of-thought) LLMs and self-explanatory LLMs in the context of explainability, and techniques for building inherently interpretable LLMs. We also showcase open source tools that make these methods accessible to practitioners. Furthermore, we highlight promising future research directions in interpretability research and the induced future directions in AI more broadly, with applications in model editing, steering, and regulation. Through comprehensive coverage of algorithms, real-world case studies, and practical guidance, attendees will gain both a deep technical understanding of state-of-the-art methods and practical skills to apply interpretability techniques effectively in AI applications."
109595,Tutorial,Scale Test-Time Compute on Modern Hardware,scale test-time compute on modern hardware,/virtual/2025/109595,Zhuoming Chen · Beidi Chen · Azalia Mirhoseini,"Dec 2, 1:30 PM - 4:00 PM",Upper Level Ballroom 6CDEF,"Large language models have achieved significant breakthroughs in reasoning tasks, relying on the effective use of test-time compute. Techniques such as chain-of-thought and sampling-based strategies have shown that increasing test-time computation can dramatically enhance model performance. Our recent scaling law analyses highlight the critical role of test-time compute in enabling advanced reasoning, beyond what pretraining can offer. We also provide a practical analysis of hardware efficiency, revealing where bottlenecks arise and how they differ fundamentally from those in pretraining. Scaling test-time compute on modern hardware presents unique challenges. Compared to training workloads, test-time compute often exhibits low parallelism, irregular workload, frequent memory I/O, and dynamic execution paths, all of which make efficient deployment difficult. Therefore, practical scalability is often bottlenecked by system constraints, such as attention-related memory overheads and limited compute utilization. To address these challenges, the community has explored solutions across both systems and algorithms. On the system side, advancements include memory-efficient key-value cache management, optimized attention kernels, and scheduling mechanisms for adaptive resource allocation. On the algorithm side, emerging work has proposed model architectures and parallel generation paradigms that better align with hardware. This tutorial aims to provide a comprehensive overview of the landscape of scalable test-time compute. We will cover foundational challenges, review recent progress from both system and algorithm perspectives, and discuss principles for building solutions that are truly compatible with modern hardware. By bridging theory with deployment realities, we hope this tutorial will inspire and accelerate the development of practical, scalable LLM agent systems."
109597,Tutorial,Theoretical Insights on Training Instability in Deep Learning,theoretical insights on training instability in deep learning,/virtual/2025/109597,Jingfeng Wu · Yu-Xiang Wang · Maryam Fazel,"Dec 2, 1:30 PM - 4:00 PM",Upper Level Ballroom 6AB,"The advances in deep learning build on the dark arts of gradient-based optimization. In deep learning, the optimization process is oscillatory, spiky, and unstable. This makes little sense in classical optimization theory, which primarily operates in a well-behaved, stable regime. Yet, the best training configuration in practice constantly operates in an unstable regime. This tutorial introduces recent theoretical progress in understanding the benign nature of training instabilities, providing new insights from both optimization and statistical learning perspectives."
109598,Tutorial,"The Science of Benchmarking: What’s Measured, What’s Missed, and What’s Next","the science of benchmarking: what’s measured, what’s missed, and what’s next",/virtual/2025/109598,Ziqiao Ma · Michael Saxon · Xiang Yue,"Dec 2, 1:30 PM - 4:00 PM","Exhibit Hall G,H",
