event_id,event_type,title,title_slug,url,speakers,time,location,abstract
109558,Workshop,Imageomics: Discovering Biological Knowledge from Images Using AI,imageomics: discovering biological knowledge from images using ai,/virtual/2025/workshop/109558,Jianyang Gu · Sam Stevens · Zheda Mai · Kaiya Provost · Lily Weng · Sara Beery · Subhransu Maji · Anuj Karpatne · Ben Weinstein,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 32AB,"Imageomics is an emerging interdisciplinary field at the crossroads of machine learning (ML), computer vision (CV), and biological sciences. It leverages visual data—from microscopic images of single-cell species to videos of megafauna—to extract and analyze biological information, specifically traits. By grounding ML models in existing scientific knowledge, Imageomics aims to make traits computable from images, facilitating insights into the evolution and function of living organisms. Imageomics poses research problems that resonate with the broad machine-learning community: multimodal representation learning, object detection and tracking, few-shot learning, imbalanced-class learning, video understanding, 3D modeling, hierarchical learning, etc. When people leverage ML tools to solve biological questions, the foundational bridges between ML and biological sciences also provide opportunities to address key challenges in ML, creating a virtuous cycle between the two fields."
109543,Workshop,AI Virtual Cells and Instruments: A New Era in Drug Discovery and Development,ai virtual cells and instruments: a new era in drug discovery and development,/virtual/2025/workshop/109543,Quanquan Gu · Michelle Li · Xuefeng Liu · Chong Liu · Abhishek Pandey · Ji Won Park · Nataša Tagasovska · Marinka Zitnik,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 28A-E,"As the US FDA phases out animal testing requirements for drug discovery and development, AI tools will become widely adopted to simulate the effects of candidate drugs. We posit that building virtual cells and instruments with AI is poised to transform drug discovery and development by enabling large-scale simulation and interrogation of molecules, cells, and tissues. In our workshop, we will collaboratively define and promote this emerging scientific paradigm of AI to accelerate the drug discovery and development process in this new era."
109545,Workshop,GenProCC: 1st Workshop on Generative and Protective AI for Content Creation,genprocc: 1st workshop on generative and protective ai for content creation,/virtual/2025/workshop/109545,Wei-Yao Wang · Takashi Shibuya · vali lalioti · Qiyu Wu · Wei Wang · Shusuke Takahashi · Yuki Mitsufuji,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 23ABC,"Recent advancements in generative AI (GenAI) have empowered machines to create high-quality content across diverse modalities - text, image, audio, and video - with impressive fluency and creativity. From GPT-4o and Stable Diffusion to Sora and MMAudio, the explosion of X-to-X generation (e.g., text-to-image, video-to-audio) is unlocking new frontiers in science, education, entertainment, and art. While GenAI has shown significant potential in creative applications (e.g., music, films, arts), these breakthroughs also raise pressing concerns related to safety, copyright, and ethical use. Generative models can be exploited to spread misinformation, violate intellectual property rights, or diminish human agency in creative processes. As such, there is an increasing need to balance innovation with protection, ensuring that AI-powered creative tools are used responsibly and ethically. This workshop, GenProCC: Generative and Protective AI for Content Creation, brings together researchers, creators, and practitioners at the intersection of content generation and IP protection. By uniting the generative AI and creator communities, the GenProCC workshop aims to explore the latest advances, challenges, and opportunities in the rapidly evolving field."
109576,Workshop,AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),ai and ml for next-generation wireless communications and networking (ai4nextg @ neurips’25),/virtual/2025/workshop/109576,Cong Shen · Christopher Brinton · Gauri Joshi · Hyeji Kim · Osvaldo Simeone · Shiqiang Wang · Taesang Yoo · Jun Zhang,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 10,"The field of wireless communications and networking is undergoing a paradigm shift, driven by the growing potential of Artificial Intelligence (AI) and Machine Learning (ML) to redefine traditional system design principles. This workshop aims to catalyze interest and foster collaboration between the AI/ML and wireless communications communities. The timing of this workshop is especially significant, as the next-generation (NextG) wireless standardization efforts (such as 6G and WiFi 9) are just getting started, with AI-native technologies expected to play a central role across all aspects of the wireless ecosystem – from radio access to network management and edge intelligence. NextG represents a foundational shift in global infrastructure, enabling ultra-fast, low-latency, and intelligent connectivity that will power future applications in AI, robotics, immersive environments, and autonomous systems. These technologies offer unprecedented opportunities to both drive and benefit many applications, from healthcare and transportation to industrial automation and environmental monitoring. The economic and societal implications are vast: NextG networks will underlie trillions in global GDP impact, bridge digital divides, and shape how billions of people interact with technology and each other in the decades to come. Despite the clear promise, a significant disconnect exists between the AI/ML and wireless research communities. AI/ML experts often lack an understanding of the unique physical, algorithmic, and architectural constraints inherent in wireless systems, while wireless researchers tend to adopt generic, off-the-shelf AI/ML models that are not optimized for the intricacies of wireless environments. Wireless environments are inherently dynamic, high-dimensional, and partially observable. These unique characteristics make them ideal testbeds for developing robust learning algorithms, particularly in areas like online learning, reinforcement learning, and in-context learning. At the same time, AI/ML techniques are becoming essential for managing the growing complexity of modern wireless networks, including resource allocation, interference mitigation, and cross-layer optimization. Bridging the gap between the two communities is not only necessary for meaningful technological advances but also critical for realizing the full societal impact of intelligent wireless systems. This workshop aims to bring together researchers and practitioners at the intersection of artificial intelligence (AI), machine learning (ML), and wireless to address the unique challenges and opportunities posed by Next-Generation (NextG) wireless systems. As the 6G era begins to take shape, AI-native designs have emerged as a cornerstone of wireless innovation, with the potential to transform the performance, efficiency, and adaptability of communication systems. The integration of AI/ML is poised to influence every layer of the network stack, from physical-layer signal processing to network control and resource management."
109538,Workshop,AI4Mat-NeurIPS-2025: NeurIPS 2025 Workshop on AI for Accelerated Materials Design,ai4mat-neurips-2025: neurips 2025 workshop on ai for accelerated materials design,/virtual/2025/workshop/109538,Santiago Miret · ALEXANDRE DUVAL · Rocío Mercado · Emily Jin · N M Anoop Krishnan · Kevin Maik Jablonka · Marta Skreta · Stefano Martiniani,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 29A-D,"AI4Mat-NeurIPS-2025 explores applications of artificial intelligence (AI) to materials via: 1. AI-Guided Materials Design; 2. Automated Chemical Synthesis; 3. Automated Material Characterization. AI4MatNeurIPS-2025 emphasizes structured, expert-driven dialogue on making advanced machine learning more impactful for real-world materials discovery. To that end, AI4Mat-RLSF (Research Learning from Speaker Feedback) creates a new structured discussion format where spotlight presenters receive curated, in-depth feedback from invited discussants. Further, the AI4Mat Frontiers & Benchmarking session brings together a diverse and distinguished set of speakers to critically examine current benchmarks, present state-of-the-art methods, and identify emerging opportunities and current limitations in AI-driven materials design."
109532,Workshop,Embodied World Models for Decision Making,embodied world models for decision making,/virtual/2025/workshop/109532,Yunbo Wang · Qi Wang · Mengyue Yang · Shenyuan Gao · Huazhe Xu · Xin Jin · Mingqi Yuan · Nedko Savov · Guozheng Ma · Bo Liu · Siheng Chen · Yongquan Hu · Jenny Zhang · Minting Pan · Luc V Gool,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 30A-E,"World models infer and predict real-world dynamics by modeling the external environment, and have become a cornerstone of embodied artificial intelligence. They have powered recent progress in decision-making and planning for interacting agents. This workshop aims to bring together researchers working at the intersection of generative modeling, reinforcement learning, computer vision, and robotics to explore the next generation of embodied world models—models that enable agents to understand, predict, and interact with the world through learned models. By focusing on embodiment and decision-making, this workshop seeks to advance world models beyond passive prediction, toward active, goal-driven interaction with the physical and virtual world. By emphasizing embodiment and decision-making, we aim to move beyond passive sequence prediction toward goal-directed interaction with both physical and simulated worlds."
109562,Workshop,Deep Learning for Code in the Agentic Era,deep learning for code in the agentic era,/virtual/2025/workshop/109562,Zijian Wang · Giovanni Zappella · Qian Liu · Zora Wang · Wen-Ding Li · Wasi Uddin Ahmad · Binyuan Hui,"Dec 6, 8:00 AM - 5:00 PM","Exhibit Hall G,H","Deep learning for code has progressed from focused tasks—such as completion, repair, synthesis, and explanation to tackling complex, end-to-end software–engineering problems. A key recent breakthrough is the rise of coding agents. Unlike single-shot models, these systems plan, reason, explore, and invoke external tools to assist throughout the software-development lifecycle: adding features, refactoring, debugging, finding vulnerabilities, optimizing performance, summarizing code, and answering repository-level questions. Their growing versatility demands rigorous evaluation and a deeper understanding of their capabilities, limits, risks, and broader social impact. Building on momentum from both academia and industry (e.g. Google, OpenAI, Anthropic, SWE-Agent, OpenHands), we propose the 4th Deep Learning for Code (DL4C) workshop with a dedicated focus on coding agents. This workshop will provide a timely forum where researchers and practitioners can design and stress-test robust coding agents, discover novel applications and emergent behaviors, establish principled benchmarks and evaluation methods, study human–agent collaboration at scale, and advance the responsible, safe deployment of autonomous coding tools."
109535,Workshop,Differentiable Learning of Combinatorial Algorithms: From Theory To Practice,differentiable learning of combinatorial algorithms: from theory to practice,/virtual/2025/workshop/109535,Cathy Wu · Nikolaos Karalias · Yusu Wang · Indradyumna Roy · Abir De,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 25ABC,
109571,Workshop,Foundation Models for the Brain and Body Workshop,foundation models for the brain and body workshop,/virtual/2025/workshop/109571,Mehdi Azabou · Cole Hurwitz · Sophia Sanborn · Sana Tonekaboni · Paul Scotti · Nanda H Krishna · Pierre Guetschel,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Room 24ABC,"Our brains and bodies speak a rich and complex biological language of neural and physiological signals, a language that AI models are increasingly capable of deciphering as large-scale datasets become available. Recent advances in brain interfacing and wearable technologies, including EEG, intracortical electrophysiology, EMG, MEG, and ECG, have enabled the broad collection of these signals across real-world contexts and diverse populations. This growing wealth of data is driving a shift toward foundation models: large-scale, pretrained AI systems designed to learn from biosignals and generalize across diverse downstream applications, from brain-computer interfacing to health monitoring. Realizing this potential, however, requires addressing the unique challenges that come with biosignal timeseries: they are noisy, heterogeneous, and collected under variable conditions across subjects, devices, and environments. To meet these challenges, this workshop brings together neuroscientists, biomedical engineers, wearable tech researchers, and machine learning experts advancing foundation model approaches. Through interdisciplinary dialogue, we aim to catalyze the next generation of AI models that can capture the complexity of the brain, body, and behavior at scale."
109581,Workshop,OPT 2025: Optimization for Machine Learning,opt 2025: optimization for machine learning,/virtual/2025/workshop/109581,Cristóbal Guzmán · Courtney Paquette · Misha Belkin · Zakaria Mhammedi · Frederik Kunstner · Sebastian Stich,"Dec 6, 8:00 AM - 5:00 PM",Upper Level Ballroom 20A,"Optimization lies at the heart of many machine learning algorithms and enjoys great interest in our community. Indeed, this intimate relation of optimization with ML is the key motivation for the OPT series of workshops. We aim to foster discussion, discovery, and dissemination of state-of-the-art research in optimization relevant to ML. The focus of OPT 2025 is on ""Statistics Meets Optimization"". Since its inception, stochastic optimization has been grounded in statistical principles. Today, many of the most pressing challenges in machine learning—such as generalization bounds, the training dynamics of overparameterized models, and the development of generative models—are directly inspired by statistical thinking. At the same time, the scale and complexity of modern datasets, along with the increasingly rich model classes used to represent them, pose new questions about how optimization algorithms interact with these structures—both computationally and statistically. For example, what role do data symmetries play in shaping optimization trajectories? How do statistical properties of the data affect the adaptivity and efficiency of learning algorithms? And how can optimization approaches be designed to scale with data while still preserving desirable statistical behavior? OPT 2025 will explore these questions with the goal of building bridges between the statistics and optimization communities, and highlighting their shared impact on the theory and practice of machine learning. We are looking forward to seeing you all at OPT 2025, which will take place at the San Diego Convention Center!"
